,English,,German,,Swedish,,French,,,Greek,,Spanish,,Portuguese,,Czech,,Slovenian,,Slovak,,Bosnian,
,CLASSIFICATION,SLUG,Einordnung,SLUG,KLASSIFICERING,SLUG,CLASSIFICATION,SLUG,,ΤΑΞΙΝΟΜΗΣΗ,SLUG,CLASIFICACIÓN,SLUG,CLASSIFICAÇÃO,SLUG,KLASIFIKACE,SLUG,RAZVRSTITEV,SLUG,KLASIFIKÁCIA,SLUG,KLASIFIKACIJA ,SLUG
,Parks and Gardens,,Parks und Gärten,,Parker och trädgårdar,,Parcs et jardins,,,Πάρκα και Κήποι,,Parques y jardines,,Parques e Jardins ,,Parky a zahrady,,Parki in vrtovi ,,Parky a záhrady,,Parkovi i bašte ,
,Car Dealers,,Autoverkäufer,,Bilfirmor,,Concessionnaires automobiles,,,Έμποροι Αυτοκινήτων,,Venta de coches,,Venedores de Automóveis ,,Prodejci aut,,Prodaja vozil,,Predajcovia áut,,Prodavci automobila ,
,Bazaars and Markets,,Basare und Märkte,,Basarer och marknader,,Bazars et marchés,,,Παζάρια και Αγορές,,Mercados y bazares,,Bazares e Mercados ,,Bazary a trhy,,Bazarji in tržnice,,Bazáre a tržnice,,Bazari i pijace ,
,Petrol Stations,,Tankstellen,,Bensinstationer,,Stations d’essence,,,Βενζινάδικα,,Gasolineras,,Postos de Abastecimento,,Čerpací stanice,,Bencinske črpalke,,Čerpacie stanice,,Benzinske stanice ,
,Car Parks,,Parkhäuser,,Parkeringsplatser,,Parcs de stationnement,,,Πάρκινγκ,,Aparcamientos,,Parques de Estacionamento ,,Parkoviště,,Parkirišča,,Parkoviská,,Parkirališta ,
,Sports,,Sport,,Sporter,,Sports,,,Σπορ,,Deportes,,Desportos ,,Sport,,Športi,,Športy,,Sportovi ,
,Monuments,,Monumente,,Monument,,Monuments,,,Μουσεία,,Monumentos,,Monumentos ,,Pamětihodnosti,,Spomeniki,,Pamiatky,,Spomenici ,
,Historical Buildings,,Historische Gebäude,,Historiska byggnader,,Constructions historiques,,,Ιστορικά Κτίρια,,Edificios Históricos,,Edifícios Históricos ,,Historické budovy,,Zgodovinske zgradbe,,Historické budovy,,Istorijske zgrade ,
,Solariums,,Solarien,,Solarier,,Solariums,,,Σολάριουμ,,Soláriums,,Solários ,,Solária,,Solariji,,Soláriá,,Solarijumi ,
,Sports and Tourist Shops,,Sport- und Touristengeschäfte,,Sport- och turistbutiker,,Boutiques de sport et de tourisme,,,Καταστήματα Αθλητικών και Τουριστικών Ειδών,,Tiendas turísticas y de deportes,,Desportos e Lojas para Turistas ,,Sportovní a turistické prodejny,,Športne in turistične trgovine,,Športové a turistické obchody,,Sportske i turističke prodavnice ,
,Hairdressers and Beauticians,,Frisöre und Beautygeschäfte,,Hårfriseringar och skönhetssalonger,,Salons de coiffure et salons de beauté,,,Κομμωτές και Αισθητικοί,,Peluquerías y esteticién,,Cabeleireiros e Esteticistas ,,Kadeřnictví a kosmetika,,Frizerski in lepotni saloni,,Kaderníctva a kozmetické salóny,,Frizeri i kozmetičari ,
,Post,,Post,,Post,,Bureaux de poste,,,Ταχυδρομείο,,Correos,,Correios ,,Pošta,,Pošta,,Pošta,,Pošta ,
,Sports Clubs,,Sportvereine,,Sportklubbar,,Sports Clubs,,,Αθλητικοί Σύλλογοι,,Clubes deportivos,,Clubes Desportivos ,,Sportovní kluby,,Športni klubi,,Športové kluby,,Sportski klubovi ,
,Embassies,,Botschaften,,Ambassader,,Ambassades,,,Πρεσβείες,,Embajadas,,Embaixadas ,,Velvyslanectví,,Ambasade,,Ambasády,,Ambasade ,
,Police,,Polizei,,Polis,,Police,,,Αστυνομία,,Policía,,Polícia ,,Policie,,Policija,,Polícia,,Policija ,
,Delicatessen,,Delikatessen,,Delikatessbutiker,,Épiceries fines,,,Ντελικατέσεν,,Delicatessen,,Delicatessen ,,Lahůdky,,Delikatese,,Delikatesy,,Delikatese ,
,Recycling,,Recycling,,Återvinning,,Recyclage,,,Ανακύκλωση,,Reciclaje,,Reciclagem ,,Recyklace,,Reciklaža,,Recyklácia,,Reciklaža ,
,Security,,Sicherheit,,Säkerhet,,Sécurité,,,Ασφάλεια,,Seguridad,,Segurança ,,Bezpečnost,,Varnost,,Bezpečnosť,,Bezbjednost ,
,Animal Shelters,,Tierheime,,Djurskyddsorganisationer,,Refuges pour animaux,,,Καταφύγια Ζώων,,Protectora de animales,,Abrigos para Animais ,,Zvířecí útulky,,Zavetišča za živali ,,Útulok zvierat,,Prihvatilišta za životinje ,
,Romanian Restaurants,,Rumänische Restaurants,,Rumänska restauranger,,Restaurants roumains,,,Ρουμανικά Εστιατόρια,,Restaurantes rumanos,,Restaurantes Romenos,,Rumunské restaurace,,Romunske restavracije,,Rumunské reštaurácie,,Rumunski restorani ,
,Croatian Restaurants,,Kroatische Restaurants,,Kroatiska restauranger,,Restaurants croates,,,Κροατικά Εστιατόρια,,Restaurantes croatas,,Restaurantes Croatas,,Chorvatské restaurace,,Hrvaške restavracije,,Chorvátske reštaurácie,,Hrvatski restorani ,
,Macedonian Restaurants,,Mazedonische Restaurants,,Makedonska restauranger,,Restaurants macédoniens,,,Μακεδονικά Εστιατόρια,,Restaurantes macedonios,,Restaurantes Macedónios,,Makedonské restaurace,,Makedonske restavracije,,Macedónske reštaurácie,,Makedonski restorani ,
,Bulgarian Restaurants,,Bulgarische Restaurants,,Bulgariska restauranger,,Restaurants bulgares,,,Βουλγαρικά Εστιατόρια,,Restaurantes búlgaros,,Restaurantes Búlgaros,,Bulharské restaurace,,Bolgarske restavracije,,Bulharské reštaurácie,,Bugarski restorani ,
,Clubs and Live Music,,Mazedonische Restaurants,,Klubbar och musikställen,,Clubs et musique en direct,,,Κλαμπ και Ζωντανή Μουσική,,Discotecas y música en directo,,Clubes e Música ao Vivo ,,Kluby a živá hudba,,Klubi in glasba v živo,,Kluby a živá hudba,,Klubovi i muzika uživo ,
,Bowling and Billiards,,Clubs und Live Musik,,Bowling och biljard,,Salons de quilles et salles de billard,,,Μπόουλινγκ και Μπιλιάρδα,,Bolos y billar,,Bowling e Bilhar ,,Bowling a kulečník,,Kegljanje in biljard ,,Bowling a biliard,,Kuglanje i bilijar ,
,Casinos,,Bowling und Billard,,Kasinon,,Casinos,,,Καζίνο,,Casinos,,Casinos ,,Kasina,,Igralnice,,Kasína,,Kazina ,
,Zoos,,Kasinos,,Djurparker,,Zoos,,,Ζωολογικοί Κήποι,,Zoológicos,,Jardins Zoológicos ,,Zoologické zahrady,,Živalski vrtovi,,Zoo,,Zoološki vrtovi ,
