id, name, slug, lang
1,Parks and Gardens,parks-gardens,en
1,Parkovi i bašte,parkovi-bašte,me
2,Car Dealers,car-dealers,en
2,Auto dileri,auto-dileri,me
3,Bazaars and Markets,bazaars-markets,en
3,Pijace,pijace,me
4,Petrol Stations,petrol-stations,en
4,Benzinske pumpe,benzinske-pumpe,me
5,Car Parks,car-parks,en
5,Parkirališta - Garaže,parkiralista-garaze,me
6,Sports,sports,en
6,Sport,sport,me
7,Monuments,monuments,en
7,Spomenici,spomenici,me
8,Historical Buildings,historical-buildings,en
8,Istorijske znamenitosti,istorijske-znamenitosti,me
9,Solariums,solariums,en
9,Solarijumi,solarijumi,me
10,Sports and Tourist Shops,sports-shops,en
10,Prodavnice sportske opreme,prodavnice-sportske-opreme,me
11,Hairdressers and Beauticians,hairdressers-beauticians,en
11,Frizerski saloni,frizerski-saloni,me
12,Post,post,en
12,Pošte,poste,me
13,Sports Clubs,sports-clubs,en
13,Sportski klubovi,sportski-klubovi,me
14,Embassies,embassies,en
14,Ambasade,ambasade,me
15,Police,police,en
15,Policijske stanice,policijske-stanice,me
16,Delicatessen,delicatessen,en
16,Delikatesi,delikatesi,me
17,Recycling,recycling,en
17,Recikliranje,recikliranje,me
18,Security,security,en
18,Obezbjeđenje,obezbjedjenje,me
19,Animal Shelters,animal-shelters,en
19,Prihvatilišta za životinje,prihvatilista-za-zivotinje,me
20,Romanian Restaurants,romanian-restaurant,en
20,Restorani Rumunske kuhinje,restorani-rumunske-kuhinje,me
21,Croatian Restaurants,croatian-restaurants,en
21,Restorani Hrvatske kuhinje,restorani-hrvatske-kuhinje,me
22,Macedonian Restaurants,macedonian-restaurants,en
22,Restorani Makedonske kuhinje ,restorani-makedonske-kuhinje,me
23,Bulgarian Restaurants,bulgarian-restaurants,en
23,Restorani Bugarske kuhinje,restorani-bugarske-kuhinje,me
24,Clubs and Live Music,clubs-live-music,en
24,Klubovi i Diskoteke,klubovi-diskoteke,me
25,Bowling and Billiards,bowling-billiards,en
25,Kuglane i Bilijar sale,kuglane-bilijar-sale,me
26,Casinos,casinos,en
26,Kazina,kazina,me
27,Zoos,zoos,en
27,Zoološki vrtovi,zooloski vrtovi,me
28,Ticket Centres,ticket-centres,en
28,Biletarnice,biletarnice,me
29,Car Hire,car-hire,en
29,Iznajmljivanje vozila,iznajmljivanje-vozila,me
30,Arts and Crafts,arts-crafts,en
30,Umjetnost i vještine,umjetnost-i-vještine,me
31,Travel Agencies and Tour Operators,travel-agency-tour-operator,en
31,Turističke agencije i Turoperateri,turisticke-agencije-turoperateri,me
32,Guest Houses,guest-houses,en
32,Apartmani,apartmani,me
33,Attractions,attractions,en
33,Atrakcije,atrakcije,me
34,Wineries,wineries,en
34,Vinarije,vinarije,me
35,Cinemas,cinemas,en
35,Bioskopi,bioskopi,me
36,Museums,museums,en
36,Muzeji,muzeji,me
37,"Opera, Ballet and Classical Music",opera-ballet-classical-music,en
37,"Opera, balet i klasična muzika",opera-balet-klasicna-muzika,me
38,Beaches,beaches,en
38,Plaže i kupališta,plaze-kupalista,me
39,Theatres,theatres,en
39,Pozorišta,pozorista,me
40,Dance Classes,dance-classes,en
40,Škole plesa,skole-plesa,me
41,Art Galleries and Shops,art-galleries,en
41,Umjetničke galerije,umjetnicke-galerije,me
