"id,english,icelandic",,"auðkenni,enska,íslenska"
"1,Parks and Gardens,",,"1,Almenningsgarðar og Garðar,"
"2,Car Dealers,",,"2,Bílasalar,"
"3,Bazaars and Markets,",,"3,Markaðir og Markaðstorg,"
"4,Petrol Stations,",,"4,Bensínstöðvar,"
"5,Car Parks,",,"5,Bílastæði,"
"6,Sports,",,"6,Íþróttir,"
"7,Monuments,",,"7,Minnismerki,"
"8,Historical Buildings,",,"8,Sögulegar byggingar"
"9,Solariums,",,"9,Sólbaðsstofur,"
"10,Sports and Tourist Shops,",,"10,Íþróttir og ferðamannaverslun,"
"11,Hairdressers and Beauticians,",,"11,Hárgreiðslufólk og Snyrtifræðingar,"
"12,Post,",,"12,Póstur,"
"13,Sports Clubs,",,"13,Íþróttafélög,"
"14,Embassies,",,"14,Sendiráð,"
"15,Police,",,"15,Lögregla,"
"16,Delicatessen,",,"16,Sælkeraverslun,"
"17,Recycling,",,"17,Endurvinnsla,"
"18,Security,",,"18,Öryggisvarsla,"
"19,Animal Shelters,",,"19,Dýraathvarf,"
"20,Romanian Restaurants,",,"20,Rúmanskir veitingastaðir,"
"21,Croatian Restaurants,",,"21,Króatískir veitingastaðir,"
"22,Macedonian Restaurants,",,"22,Makedónskir veitingastaðir,"
"23,Bulgarian Restaurants,",,"23,Búlgarskir veitingastaðir,"
"24,Clubs and Live Music,",,"24,Skemmtistaðir og lifandi tónlist,"
"25,Bowling and Billiards,",,"25,Keila og billjarð,"
"26,Casinos,",,"26,Fjárhættuspil,"
"27,Zoos,",,"27,Dýragarðar,"
"28,Ticket Centres,",,"28,Miðasölur,"
"29,Car Hire,",,"29,Bílaleigur,"
"30,Arts and Crafts,",,"30,List og föndur,"
"31,Travel Agencies and Tour Operators,",,"31,Ferðaskrifstofur og ferðaþjónustuaðilar,"
"32,Guest Houses,",,"32,Gistiheimili,"
"33,Attractions,",,"33,Spennandi staðir,"
"34,Wineries,",,"34,Víngerð,"
"35,Cinemas,",,"35,Kvikmyndahús,"
"36,Museums,",,"36,Söfn,"
"37,""Opera, Ballet and Classical Music"",",,"37,""Ópera, ballett og sígild tónlist,"
"38,Beaches,",,"38,Strandir,"
"39,Theatres,",,"39,Leikhús,"
"40,Dance Classes,",,"40,Danstímar,"
"41,Art Galleries and Shops,",,"41,Listasöfn og verslanir,"
"42,Childrens Play Centres and Creches,",,"42,Leiksvæði fyrir börn,"
"43,Circuses,",,"43,Sirkusar,"
"44,Book Shops,",,"44,Bókaverslanir,"
"45,Bakeries,",,"45,Bakarí,"
"46,Butchers,",,"46,Slátrarar,"
"47,Chocolate Shops,",,"47,Súkkulaðiverslanir, "
"48,Curtain Shops,",,"48,Gardínuverslanir,"
"49,Fishmongers,",,"49,Fisksalar,"
"50,Fruit and Vegetable Shops,",,"50,Verslanir með ávexti og grænmeti,"
"51,Lighting Shops,",,"51,Ljósaverslanir,"
"52,Pharmacies,",,"52,Apótek,"
"53,24 Hour Pharmacies,",,"53,Apótek sem eru opin allan sólarhringinn,"
"54,Aromatherapy,",,"54,Lyktarmeðferð,"
"55,Healthy Living,",,"55,Heilsusamlegur lífstíll,"
"56,""Yoga, Meditation and Pilates"",",,"56,""Jóga, hugleiðsla og pílates,"
"57,Kinesiotherapy,",,"57,Jafnvægismeðferð,"
"58,Beauty Salons,",,"58,Snyrtistofur,"
"59,Party Accessories,",,"59,Fylgihlutir fyrir veislur,"
"60,Supermarkets,",,"60,Stórverslanir,"
"61,Jewellery Shops,",,"61,Skartgripaverslanir,"
"62,Antique Shops,",,"62,Fornmunaverslanir,"
"63,Bio Shops,",,"63,Verslanir með lífrænar vörur,"
"64,Wine Shops,",,"64,çfengisverslanir,"
"65,Garden Centres and Shops,",,"65,Garðmiðstöðvar og verslanir,"
"66,Massage,",,"66,Nudd,"
"67,Perfumery and Cosmetics Shops,",,"67,Verslanir með ilmvötn og snyrtivörur,"
"68,Party and Event Organizers,",,"68,Veislu- og viðburðastjórar,"
"69,Babysitters and Childcare,",,"69,Barnapíur og barnagæsla,"
"70,Launderettes,",,"70,Þvottahús,"
"71,""Bathroom Equipment and Furniture Manufacturing, Sales and Installation"",",,"71,""Búnaður fyrir baðherbergi og húsgagnaframleiðsla, sala og uppsetning"","
"72,Furniture Wholesale,",,"72,Heildsölur með húsgögn,"
"73,""Kitchen Equipment and Furniture Manufacturing, Sales and Installation"",",,"73,""Búnaður fyrir eldhús og húsgagnaframleiðsla, sala og uppsetning"","
"74,Lawns and Parks Services,",,"74,Garðaþjónusta,"
"75,Banks,",,"75,Bankar, "
"76,Financial Services,",,"76,Fjármálaþjónusta,"
"77,General Insurance,",,"77,Almennar tryggingar,"
"78,Spedition and International Transport,",,"78,Netþjónusta,"
"79,Chambers of Commerce and Industry,",,"79,Iðnaðar- og verslunarráðuneyti,"
"80,Hospices,",,"80,Líknardeildir,"
"81,Nonprofit Organisations and Companies,",,"81,Félagasamtök,"
"82,Advertising,",,"82,Auglýsingar,"
"83,Advertising Agencies,",,"83,Auglýsingastofur,"
"84,Designers,",,"84,Hönnuðir,"
"85,Public Relations Agencies,",,"85,Almannatengslastofur,"
"86,Recording Studios and Services,",,"86,Hljóðver og þjónusta,"
"87,Accounting Services,",,"87,Endurskoðunarþjónusta,"
"88,Agrochemical Services,",,"88,Búefnafræðileg þjónusta,"
"89,Customs Agents and Services,",,"89,Tollverðir og þjónusta,"
"90,Geodesy and Cartography,",,"90,Landmælingar og kortagerð,"
"91,Lawyers,",,"91,Lögfræðingar,"
"92,Notaries,",,"92,Lögbókendur,"
"93,Business Centres,",,"93,Viðskiptamiðstöðvar,"
"94,Certification and Registration Services,",,"94,Skráningar- og vottunarþjónusta,"
"95,Cleaning Commercial,",,"95,þrifafyrirtæki,"
"96,Conference Halls and Venues,",,"96,Ráðstefnusalir og -staðir,"
"97,Legal Services,",,"97,Lögfræðiþjónusta,"
"98,""Classes, Courses and Lessons"",",,"98,""Kennsla og námskeið"","
"99,Language Classes and Courses,",,"99,Tungumálanámskeið og -kennsla,"
"100,Estate Agents,",,"100,Fasteignasölur,"
"101,Churches and Temples,",,"101,Kirkjur og musteri,"
"102,Mosques,",,"102,Moskur,"
"103,Funeral Services,",,"103,Útfararstofur,"
"104,Public Institutions,",,"104,Opinberar stofnanir,"
"105,Education,",,"105,Menntun,"
"106,Architectural Services,",,"106,Arkitektastofur,"
"107,Audio Visual Equipment and Electronics,",,"107,Hljóð- og myndbúnaður og þjónusta,"
"108,Carpenters,",,"108,Smiðir,"
"109,Residential Construction,",,"109,Uppbygging íbúða,"
"110,Clinics,",,"110,Heilsugæslustöðvar,"
"111,Medical Practices,",,"111,Læknastofur,"
"112,Computer Sales,",,"112,Tölvuverslanir,"
"113,Fabric Shops,",,"113,Vefnaðarvöruverslanir,"
"114,Landscape Architects,",,"114,Landslagsarkitektar,"
"115,Furniture Manufacturing,",,"115,Húsgagnaframleiðendur,"
"116,""Wooden Floors and Laminates Manufacturing, Sales and Installation"",",,"116,""Framleiðsla, sala og uppsetning á viðargólfum og dúkum"","
"117,""Door Manufacturing, Sales and Fitting"",",,"117,""Framleiðsla, sala og uppsetning á hurðum"","
"118,Bead Shops,",,"118,Perluverslanir,"
"119,Wedding Agents,",,"119,Brúðkaupsþjónusta,"
"120,Wedding Shops,",,"120,Brúðkaupsverslanir,"
"121,Souvenir and Gift Shops,",,"121,Minjagripa- og gjafavöruverslanir,"
"122,Ladies Clothes Shops,",,"122,Verslanir með dömufatnað,"
"123,24 Hour Shops,",,"123,Verslanir sem eru opnar allan sólarhringinn,"
"124,Alcohol and Soft Beverages Shops,",,"124,Áfengis- og gosverslanir,"
"125,Children's Goods and Toys Shops,",,"125,Leikfangaverslanir,"
"126,Electrical Appliance Shops,",,"126,Raftækjaverslanir,"
"127,Erotic Shops,",,"127,Erótískar verslanir,"
"128,""Coffee, Tea, Herbs and Spices Shops"",",,"128,""Verslanir með kaffi, Te, jurtir og krydd"","
"129,Leather and Fur Goods Shops,",,"129,Verslanir með leður og feld,"
"130,Hunting and Fishing Accessories Shops,",,"130,Veiðivöruverslanir,"
"131,Specialized Shops for Disabled People,",,"131,Sérhæfðar verslanir fyrir fatlaða,"
"132,Furniture Shops,",,"132,Húsgagnaverslanir,"
"133,Mobile Phone Shops,",,"133,Farsímaverslanir,"
"134,Music Shops,",,"134,Tónlistarverslanir, "
"135,Men's Fashion Shops,",,"135,Verslanir með herratísku,"
"136,Second Hand Clothes Shops,",,"136,Verslanir með notaðan fatnað,"
"137,Clothes and Accessories Shops,",,"137,Verslanir með fatnað og fylgihluti,"
"138,Shoe Shops,",,"138,Skóbúðir,"
"139,Shopping Malls,",,"139,Verslanamiðstöðvar,"
"140,Artwork Shops,",,"140,Verslanir með listaverk,"
"141,Grocery and Convenience Shops,",,"141,Matvöruverslanir,"
"142,Florists,",,"142,Blómasalar,"
"143,Clock and Watch Shops,",,"143,Úraverslanir,"
"144,Herbal Pharmacies,",,"144,Jurtaapótek,"
"145,Hospitals,",,"145,Sjúkrahús,"
"146,Alternative Medicine,",,"146,Náttúruleg lækning,"
"147,Opticians,",,"147,Sjóntækjafræðingar,"
"148,Polyclinics,",,"148,Göngudeildir,"
"149,Maternity,",,"149,Fæðingardeild,"
"150,Tattoo and Body Piercing,",,"150,Húðflúr og líkamsgötun,"
"151,Spas,",,"151,Heilsulindir,"
"152,Dental Services,",,"152,Tannlæknaþjónusta,"
"153,Carpet Cleaning,",,"153,Teppahreinsun,"
"154,""Translation, Legalization and Typing Services"",",,"154,""ðððingar, löggilding og innsláttur"","
"155,ATMs,",,"155,Hraðbankar,"
"156,Bars and Bistros,",,"156,Barir og matstofur,"
"157,Pubs,",,"157,Krár,"
"158,Fast Food Restaurants,",,"158,Skyndibitastaðir,"
"159,Irish Pubs,",,"159,Írskar krár,"
"160,Cafes,",,"160,Kaffihús,"
"161,Catering,",,"161,Veisluþjónusta,"
"162,Taverns,",,"162,Krár,"
"163,Piano Bars,",,"163,Píanóbarir,"
"164,Pizzerias,",,"164,Pizzastaðir,"
"165,Restaurants,",,"165,Veitingastaðir,"
"166,Greek Restaurants,",,"166,Grískir veitingastaðir,"
"167,Exotic Restaurants,",,"167,Framandi veitingastaðir,"
"168,Indian Restaurants,",,"168,Indverskir veitingastaðir,"
"169,International Restaurants,",,"169,Alðjóðlegir veitingastaðir,"
"170,Italian Restaurants,",,"170,Ítalskir veitingastaðir,"
"171,Chinese Restaurants,",,"171,Kínverskir veitingastaðir,"
"172,Seafood Restaurants,",,"172,Sjávarréttastaðir,"
"173,Serbian Restaurants,",,"173,Serbneskir veitingastaðir,"
"174,Sushi Restaurants,",,"174,Sushistaðir,"
"175,Turkish Restaurants,",,"175,Tyrkneskir veitingastaðir,"
"176,French Restaurants,",,"176,Franskir veitingastaðir,"
"177,Patisseries,",,"177,Kökubúðir,"
"178,IceóCream Parlours,",,"178,Ísbúðir,"
"179,Tea Rooms,",,"179,Testofur,"
"180,Campsites,",,"180,Tjaldstæði,"
"181,Ecotourism,",,"181,Vistvæn ferðaþjónusta,"
"182,Holiday Centres,",,"182,Fríðmiðstöðvar,"
"183,Holiday Villas and Bungalows,",,"183,Sumarhús og sumarbústaðir,"
"184,Hostels,",,"184,Hostel,"
"185,Hotels,",,"185,Hótel,"
"186,Motels,",,"186,Mótel,"
"187,Mountain Hostels,",,"187,Fjallahostel,"
"188,Rural Tourism,",,"188,Ferðaþjónusta á afskekktum stöðum,"
"189,Locksmiths and Keys,",,"189,Lása- og lyklasmiðir,"
"190,Driving Schools and Instructors,",,"190,Ökuskóla og ökukennarar,"
"191,Vets and Pet Care,",,"191,Dýralæknar og gæludðraþjónusta,"
"192,Car Washes,",,"192,Bílaþvottastöðvar,"
"193,Household and Professional Appliances Repairs,",,"193,Viðgerðir á raftækjum,"
"194,Computer Maintenance and Repairs,",,"194,Viðhald og viðgerðir á tölvum,"
"195,Courier Services,",,"195,Flutningsþjónusta,"
"196,Shoe and Leather Goods Repairs,",,"196,Viðgerðir á skóm og leðurvörum,"
"197,Building and Repair Services,",,"197,Byggingaó og viðgerðaþjónusta,"
"198,Taxis,",,"198,Leigubílar,"
"199,Dry Cleaning,",,"199,þurrhreinsun,"
"200,Kennels and Catteries,",,"200,Kattahótel,"
"201,Dressmaking Services,",,"201,Kjólasaumastofur,"
"202,Horse Riding,",,"202,Hestaferðir,"
"203,Hunting and Fishing,",,"203,Veiðar,"
"204,""Divers, Diving Schools and Equipment"",",,"204,""Kafarar, köfunarskólar og búnaður"","
"205,Extreme Sports and Outdoor Pursuits,",,"205,Jaðaríþróttir og útivist,"
"206,Fitness Clubs and Gyms,",,"206,Líkamsræktarstöðvar,"
"207,Golf,",,"207,Golf,"
"208,Martial Arts and Sports,",,"208,Bardagaíþróttir,"
"209,Professional Sports Clubs and Organizations,",,"209,íþróttafélög og stofnanir,"
"210,Sports Halls,",,"210,íþróttahús,"
"211,Swimming Pools,",,"211,Sundlaugar,"
"212,Tennis Courts,",,"212,Tennisvellir,"
"213,Winter Sports and Facilities,",,"213,Vetraríþróttir og aðstaða,"
"214,Auto Repairs,",,"214,Bílaviðgerðir,"
"215,Bicycles and Motorbikes,",,"215,Reiðhjól og mótorhjól,"
"216,Domestic Cleaning,",,"216,Þrif í heimahúsum,"
"217,Framing,",,"217,Innrömmun,"
"218,Car Parts and Accessories,",,"218,Bílavarahlutir og fylgihlutir,"
"219,Building Materials Shops,",,"219,Byggingarvöruverslanir,"
"220,Painting Services,",,"220,Málningarþjónusta,"
"221,Plumbing and Sewerage Repairs,",,"221,Pípulagnir og stífluhreinsun,"
"222,Rope Access Services ó Exterior Building Maintenance,",,"222,Þjónusta með reipi ó viðhald utanhúss,"
"223,""Bed Linen, Towels and Table Covers"",",,"223,""Rúmföt, handklælði og borðdúkar"","
"224,Photo and Video Shops and Services,",,"224,Verslanir og þjónusta með ljósmyndir og myndbönd,"
"225,Nurseries and Kindergartens,",,"225,Ungbarnagæsla og leikskólar,"
"226,Homemade Children's Food,",,"226,Heimagerður matur fyrir börn,"
"227,Carpets and Flooring,",,"227,Teppi og gólfefni,"
"228,Blinds and Awnings,",,"228, Gluggatjöld og markísur,"
"229,Floor Sanding and Polishing,",,"229,Söndun og pússun á gólfi,"
"230,Double Glazing Repairs,",,"230,Viðgerðir á tvöföldu gleri,"
"231,Pest Control and Disinfection,",,"231,Dýraeftirlit og meindðraeyðar,"
"232,Removals ó Home and Office,",,"232,Flutningur ó Heimili og skrifstofur,"
"233,Mattresses and Bedding,",,"233,Dýnur og rúm,"
"234,Household Goods and Accessories,",,"234,Búsáhöld,"
"235,Haberdashery and Passemanterie,",,"235,Vefnaðarvörur"
"236,Knitwear and Underwear,",,"236,Prjónavörur og undirfatnaður,"
